# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.96656622 0.96656622  -9.58277103e-01  
0.96656622 1.03950692  -8.95467646e-01  
0.96656622 1.11331294  -8.28118928e-01  
0.96656622 1.18773913  -7.57314974e-01  
0.96656622 1.26253823  -6.83847626e-01  
0.96656622 1.33746177  -6.08415500e-01  
0.96656622 1.41226087  -5.31715800e-01  
0.96656622 1.48668706  -4.54562006e-01  
0.96656622 1.56049308  -3.78036237e-01  
0.96656622 1.63343378  -3.03635042e-01  
0.96656622 1.70526684  -2.33323787e-01  
0.96656622 1.77575364  -1.69405265e-01  
0.96656622 1.84466004  -1.14168216e-01  
0.96656622 1.91175714  -6.93944422e-02  
0.96656622 1.97682203  -3.58960103e-02  
0.96656622 2.03963860  -1.32675182e-02  
0.96656622 2.09999816   3.30132338e-05  
0.96656622 2.15770020   6.28980824e-03  
0.96656622 2.21255306   7.97047224e-03  
0.96656622 2.26437450   7.21733287e-03  
0.96656622 2.31299239   5.55637139e-03  
0.96656622 2.35824522   3.86351790e-03  
0.96656622 2.39998267   2.50940705e-03  
0.96656622 2.43806609   1.56114713e-03  
0.96656622 2.47236897   9.51002538e-04  
0.96656622 2.50277737   5.79255126e-04  
0.96656622 2.52919027   3.59987669e-04  
0.96656622 2.55151994   2.32707746e-04  
0.96656622 2.56969223   1.59284918e-04  
0.96656622 2.58364683   1.17266821e-04  
0.96656622 2.59333765   9.40508938e-05  
0.96656622 2.59873467   8.29380988e-05  
1.03950692 0.00126533  -1.10357453e+00  
1.03950692 0.00666235  -1.10357591e+00  
1.03950692 0.01635317  -1.10351600e+00  
1.03950692 0.03030777  -1.10338437e+00  
1.03950692 0.04848006  -1.10309142e+00  
1.03950692 0.07080973  -1.10254581e+00  
1.03950692 0.09722263  -1.10163920e+00  
1.03950692 0.12763103  -1.10024874e+00  
1.03950692 0.16193391  -1.09823976e+00  
1.03950692 0.20001733  -1.09546598e+00  
1.03950692 0.24175478  -1.09176722e+00  
1.03950692 0.28700761  -1.08696613e+00  
1.03950692 0.33562550  -1.08086966e+00  
1.03950692 0.38744694  -1.07326649e+00  
1.03950692 0.44229980  -1.06392758e+00  
1.03950692 0.50000184  -1.05261360e+00  
1.03950692 0.56036140  -1.03907500e+00  
1.03950692 0.62317797  -1.02305336e+00  
1.03950692 0.68824286  -1.00428042e+00  
1.03950692 0.75533996  -9.82473377e-01  
1.03950692 0.82424636  -9.57324170e-01  
1.03950692 0.89473316  -9.28476087e-01  
1.03950692 0.96656622  -8.95467646e-01  
1.03950692 1.03950692  -8.57523315e-01  
1.03950692 1.11331294  -7.96461885e-01  
1.03950692 1.18773913  -7.31032049e-01  
1.03950692 1.26253823  -6.62274134e-01  
1.03950692 1.33746177  -5.90968596e-01  
1.03950692 1.41226087  -5.17870831e-01  
1.03950692 1.48668706  -4.43844187e-01  
1.03950692 1.56049308  -3.70010383e-01  
1.03950692 1.63343378  -2.97892955e-01  
1.03950692 1.70526684  -2.29473037e-01  
1.03950692 1.77575364  -1.67063539e-01  
1.03950692 1.84466004  -1.12966329e-01  
1.03950692 1.91175714  -6.89883116e-02  
1.03950692 1.97682203  -3.59841349e-02  
1.03950692 2.03963860  -1.36076822e-02  
1.03950692 2.09999816  -3.85821068e-04  
1.03950692 2.15770020   5.89801736e-03  
1.03950692 2.21255306   7.65510842e-03  
1.03950692 2.26437450   6.98868533e-03  
1.03950692 2.31299239   5.40325728e-03  
1.03950692 2.35824522   3.76704188e-03  
1.03950692 2.39998267   2.45123902e-03  
1.03950692 2.43806609   1.52701554e-03  
1.03950692 2.47236897   9.31165016e-04  
1.03950692 2.50277737   5.67624005e-04  
1.03950692 2.52919027   3.52979203e-04  
1.03950692 2.55151994   2.28287973e-04  
1.03950692 2.56969223   1.56317533e-04  
1.03950692 2.58364683   1.15113403e-04  
1.03950692 2.59333765   9.23405948e-05  
1.03950692 2.59873467   8.14379605e-05  
1.11331294 0.00126533  -1.00249101e+00  
1.11331294 0.00666235  -1.00249328e+00  
1.11331294 0.01635317  -1.00244129e+00  
1.11331294 0.03030777  -1.00233098e+00  
1.11331294 0.04848006  -1.00208490e+00  
1.11331294 0.07080973  -1.00162633e+00  
1.11331294 0.09722263  -1.00086414e+00  
1.11331294 0.12763103  -9.99694799e-01  
1.11331294 0.16193391  -9.98004616e-01  
1.11331294 0.20001733  -9.95670049e-01  
1.11331294 0.24175478  -9.92556058e-01  
1.11331294 0.28700761  -9.88513639e-01  
1.11331294 0.33562550  -9.83381822e-01  
1.11331294 0.38744694  -9.76985297e-01  
1.11331294 0.44229980  -9.69134632e-01  
1.11331294 0.50000184  -9.59633117e-01  
1.11331294 0.56036140  -9.48276125e-01  
1.11331294 0.62317797  -9.34851754e-01  
1.11331294 0.68824286  -9.19138799e-01  
1.11331294 0.75533996  -9.00900593e-01  
1.11331294 0.82424636  -8.79872895e-01  
1.11331294 0.89473316  -8.55743514e-01  
1.11331294 0.96656622  -8.28118928e-01  
1.11331294 1.03950692  -7.96461885e-01  
1.11331294 1.11331294  -7.59882970e-01  
1.11331294 1.18773913  -7.00735194e-01  
1.11331294 1.26253823  -6.37350337e-01  
1.11331294 1.33746177  -5.70755183e-01  
1.11331294 1.41226087  -5.01780867e-01  
1.11331294 1.48668706  -4.31341201e-01  
1.11331294 1.56049308  -3.60598442e-01  
1.11331294 1.63343378  -2.91105991e-01  
1.11331294 1.70526684  -2.24864062e-01  
1.11331294 1.77575364  -1.64198536e-01  
1.11331294 1.84466004  -1.11426996e-01  
1.11331294 1.91175714  -6.83845671e-02  
1.11331294 1.97682203  -3.59729256e-02  
1.11331294 2.03963860  -1.39114386e-02  
1.11331294 2.09999816  -8.03502681e-04  
1.11331294 2.15770020   5.49156137e-03  
1.11331294 2.21255306   7.32113212e-03  
1.11331294 2.26437450   6.74342131e-03  
1.11331294 2.31299239   5.23755838e-03  
1.11331294 2.35824522   3.66195443e-03  
1.11331294 2.39998267   2.38756088e-03  
1.11331294 2.43806609   1.48950255e-03  
1.11331294 2.47236897   9.09292789e-04  
1.11331294 2.50277737   5.54766912e-04  
1.11331294 2.52919027   3.45215950e-04  
1.11331294 2.55151994   2.23384119e-04  
1.11331294 2.56969223   1.53020916e-04  
1.11331294 2.58364683   1.12718787e-04  
1.11331294 2.59333765   9.04375038e-05  
1.11331294 2.59873467   7.97681305e-05  
1.18773913 0.00126533  -9.02261318e-01  
1.18773913 0.00666235  -9.02264275e-01  
1.18773913 0.01635317  -9.02219350e-01  
1.18773913 0.03030777  -9.02127690e-01  
1.18773913 0.04848006  -9.01922686e-01  
1.18773913 0.07080973  -9.01540382e-01  
1.18773913 0.09722263  -9.00904799e-01  
1.18773913 0.12763103  -8.99929376e-01  
1.18773913 0.16193391  -8.98518929e-01  
1.18773913 0.20001733  -8.96569928e-01  
1.18773913 0.24175478  -8.93969317e-01  
1.18773913 0.28700761  -8.90592620e-01  
1.18773913 0.33562550  -8.86306259e-01  
1.18773913 0.38744694  -8.80965364e-01  
1.18773913 0.44229980  -8.74413875e-01  
1.18773913 0.50000184  -8.66490998e-01  
1.18773913 0.56036140  -8.57030363e-01  
1.18773913 0.62317797  -8.45860516e-01  
1.18773913 0.68824286  -8.32802810e-01  
1.18773913 0.75533996  -8.17664983e-01  
1.18773913 0.82424636  -8.00228254e-01  
1.18773913 0.89473316  -7.80226260e-01  
1.18773913 0.96656622  -7.57314974e-01  
1.18773913 1.03950692  -7.31032049e-01  
1.18773913 1.11331294  -7.00735194e-01  
1.18773913 1.18773913  -6.65407779e-01  
1.18773913 1.26253823  -6.08314048e-01  
1.18773913 1.33746177  -5.47104256e-01  
1.18773913 1.41226087  -4.82852107e-01  
1.18773913 1.48668706  -4.16539129e-01  
1.18773913 1.56049308  -3.49368430e-01  
1.18773913 1.63343378  -2.82922811e-01  
1.18773913 1.70526684  -2.19221931e-01  
1.18773913 1.77575364  -1.60605012e-01  
1.18773913 1.84466004  -1.09405742e-01  
1.18773913 1.91175714  -6.74888631e-02  
1.18773913 1.97682203  -3.58066865e-02  
1.18773913 2.03963860  -1.41505195e-02  
1.18773913 2.09999816  -1.20929319e-03  
1.18773913 2.15770020   5.07145572e-03  
1.18773913 2.21255306   6.96525314e-03  
1.18773913 2.26437450   6.47716552e-03  
1.18773913 2.31299239   5.05536386e-03  
1.18773913 2.35824522   3.54530813e-03  
1.18773913 2.39998267   2.31635898e-03  
1.18773913 2.43806609   1.44731134e-03  
1.18773913 2.47236897   8.84575891e-04  
1.18773913 2.50277737   5.40181227e-04  
1.18773913 2.52919027   3.36381114e-04  
1.18773913 2.55151994   2.17789198e-04  
1.18773913 2.56969223   1.49252253e-04  
1.18773913 2.58364683   1.09977224e-04  
1.18773913 2.59333765   8.82564850e-05  
1.18773913 2.59873467   7.78533771e-05  
1.26253823 0.00126533  -8.03007702e-01  
1.26253823 0.00666235  -8.03011173e-01  
1.26253823 0.01635317  -8.02972580e-01  
1.26253823 0.03030777  -8.02897346e-01  
1.26253823 0.04848006  -8.02728528e-01  
1.26253823 0.07080973  -8.02413456e-01  
1.26253823 0.09722263  -8.01889547e-01  
1.26253823 0.12763103  -8.01085360e-01  
1.26253823 0.16193391  -7.99922246e-01  
1.26253823 0.20001733  -7.98314609e-01  
1.26253823 0.24175478  -7.96168995e-01  
1.26253823 0.28700761  -7.93382544e-01  
1.26253823 0.33562550  -7.89845352e-01  
1.26253823 0.38744694  -7.85438385e-01  
1.26253823 0.44229980  -7.80033549e-01  
1.26253823 0.50000184  -7.73499955e-01  
1.26253823 0.56036140  -7.65703239e-01  
1.26253823 0.62317797  -7.56506183e-01  
1.26253823 0.68824286  -7.45766823e-01  
1.26253823 0.75533996  -7.33332394e-01  
1.26253823 0.82424636  -7.19026848e-01  
1.26253823 0.89473316  -7.02629994e-01  
1.26253823 0.96656622  -6.83847626e-01  
1.26253823 1.03950692  -6.62274134e-01  
1.26253823 1.11331294  -6.37350337e-01  
1.26253823 1.18773913  -6.08314048e-01  
1.26253823 1.26253823  -5.74039781e-01  
1.26253823 1.33746177  -5.19147404e-01  
1.26253823 1.41226087  -4.60314012e-01  
1.26253823 1.48668706  -3.98756871e-01  
1.26253823 1.56049308  -3.35735076e-01  
1.26253823 1.63343378  -2.72858491e-01  
1.26253823 1.70526684  -2.12161694e-01  
1.26253823 1.77575364  -1.55992676e-01  
1.26253823 1.84466004  -1.06697088e-01  
1.26253823 1.91175714  -6.61669989e-02  
1.26253823 1.97682203  -3.54067812e-02  
1.26253823 2.03963860  -1.42858971e-02  
1.26253823 2.09999816  -1.58943914e-03  
1.26253823 2.15770020   4.63757355e-03  
1.26253823 2.21255306   6.58138819e-03  
1.26253823 2.26437450   6.18257312e-03  
1.26253823 2.31299239   4.85029178e-03  
1.26253823 2.35824522   3.41235391e-03  
1.26253823 2.39998267   2.23441094e-03  
1.26253823 2.43806609   1.39837508e-03  
1.26253823 2.47236897   8.55726739e-04  
1.26253823 2.50277737   5.23069269e-04  
1.26253823 2.52919027   3.25972468e-04  
1.26253823 2.55151994   2.11175291e-04  
1.26253823 2.56969223   1.44785387e-04  
1.26253823 2.58364683   1.06721303e-04  
1.26253823 2.59333765   8.56627772e-05  
1.26253823 2.59873467   7.55746260e-05  
1.33746177 0.00126533  -7.04898277e-01  
1.33746177 0.00666235  -7.04902110e-01  
1.33746177 0.01635317  -7.04869266e-01  
1.33746177 0.03030777  -7.04808620e-01  
1.33746177 0.04848006  -7.04671965e-01  
1.33746177 0.07080973  -7.04416669e-01  
1.33746177 0.09722263  -7.03992095e-01  
1.33746177 0.12763103  -7.03340316e-01  
1.33746177 0.16193391  -7.02397506e-01  
1.33746177 0.20001733  -7.01094161e-01  
1.33746177 0.24175478  -6.99354357e-01  
1.33746177 0.28700761  -6.97094419e-01  
1.33746177 0.33562550  -6.94225160e-01  
1.33746177 0.38744694  -6.90649827e-01  
1.33746177 0.44229980  -6.86264117e-01  
1.33746177 0.50000184  -6.80962189e-01  
1.33746177 0.56036140  -6.74636255e-01  
1.33746177 0.62317797  -6.67177444e-01  
1.33746177 0.68824286  -6.58474302e-01  
1.33746177 0.75533996  -6.48407411e-01  
1.33746177 0.82424636  -6.36838090e-01  
1.33746177 0.89473316  -6.23589017e-01  
1.33746177 0.96656622  -6.08415500e-01  
1.33746177 1.03950692  -5.90968596e-01  
1.33746177 1.11331294  -5.70755183e-01  
1.33746177 1.18773913  -5.47104256e-01  
1.33746177 1.26253823  -5.19147404e-01  
1.33746177 1.33746177  -4.85719886e-01  
1.33746177 1.41226087  -4.33252662e-01  
1.33746177 1.48668706  -3.77180312e-01  
1.33746177 1.56049308  -3.18983208e-01  
1.33746177 1.63343378  -2.60307696e-01  
1.33746177 1.70526684  -2.03194381e-01  
1.33746177 1.77575364  -1.49987787e-01  
1.33746177 1.84466004  -1.03033784e-01  
1.33746177 1.91175714  -6.42432241e-02  
1.33746177 1.97682203  -3.46699239e-02  
1.33746177 2.03963860  -1.42664989e-02  
1.33746177 2.09999816  -1.92638774e-03  
1.33746177 2.15770020   4.18903549e-03  
1.33746177 2.21255306   6.16080088e-03  
1.33746177 2.26437450   5.84933736e-03  
1.33746177 2.31299239   4.61344156e-03  
1.33746177 2.35824522   3.25648128e-03  
1.33746177 2.39998267   2.13723321e-03  
1.33746177 2.43806609   1.33981748e-03  
1.33746177 2.47236897   8.20952741e-04  
1.33746177 2.50277737   5.02319979e-04  
1.33746177 2.52919027   3.13290161e-04  
1.33746177 2.55151994   2.03085265e-04  
1.33746177 2.56969223   1.39304941e-04  
1.33746177 2.58364683   1.02717502e-04  
1.33746177 2.59333765   8.24683688e-05  
1.33746177 2.59873467   7.27657331e-05  
1.41226087 0.00126533  -6.08226130e-01  
1.41226087 0.00666235  -6.08230185e-01  
1.41226087 0.01635317  -6.08202620e-01  
1.41226087 0.03030777  -6.08155019e-01  
1.41226087 0.04848006  -6.08047154e-01  
1.41226087 0.07080973  -6.07845372e-01  
1.41226087 0.09722263  -6.07509711e-01  
1.41226087 0.12763103  -6.06994322e-01  
1.41226087 0.16193391  -6.06248607e-01  
1.41226087 0.20001733  -6.05217381e-01  
1.41226087 0.24175478  -6.03840266e-01  
1.41226087 0.28700761  -6.02050560e-01  
1.41226087 0.33562550  -5.99777321e-01  
1.41226087 0.38744694  -5.96943356e-01  
1.41226087 0.44229980  -5.93465078e-01  
1.41226087 0.50000184  -5.89258023e-01  
1.41226087 0.56036140  -5.84236541e-01  
1.41226087 0.62317797  -5.78314871e-01  
1.41226087 0.68824286  -5.71406198e-01  
1.41226087 0.75533996  -5.63418272e-01  
1.41226087 0.82424636  -5.54243655e-01  
1.41226087 0.89473316  -5.43742433e-01  
1.41226087 0.96656622  -5.31715800e-01  
1.41226087 1.03950692  -5.17870831e-01  
1.41226087 1.11331294  -5.01780867e-01  
1.41226087 1.18773913  -4.82852107e-01  
1.41226087 1.26253823  -4.60314012e-01  
1.41226087 1.33746177  -4.33252662e-01  
1.41226087 1.41226087  -4.00600473e-01  
1.41226087 1.48668706  -3.50970544e-01  
1.41226087 1.56049308  -2.98364268e-01  
1.41226087 1.63343378  -2.44619660e-01  
1.41226087 1.70526684  -1.91781396e-01  
1.41226087 1.77575364  -1.42170386e-01  
1.41226087 1.84466004  -9.81105843e-02  
1.41226087 1.91175714  -6.15139627e-02  
1.41226087 1.97682203  -3.34749209e-02  
1.41226087 2.03963860  -1.40315446e-02  
1.41226087 2.09999816  -2.19869768e-03  
1.41226087 2.15770020   3.72536583e-03  
1.41226087 2.21255306   5.69350673e-03  
1.41226087 2.26437450   5.46543382e-03  
1.41226087 2.31299239   4.33433620e-03  
1.41226087 2.35824522   3.06986429e-03  
1.41226087 2.39998267   2.01949526e-03  
1.41226087 2.43806609   1.26820746e-03  
1.41226087 2.47236897   7.78109773e-04  
1.41226087 2.50277737   4.76601536e-04  
1.41226087 2.52919027   2.97493835e-04  
1.41226087 2.55151994   1.92969457e-04  
1.41226087 2.56969223   1.32431298e-04  
1.41226087 2.58364683   9.76845138e-05  
1.41226087 2.59333765   7.84466566e-05  
1.41226087 2.59873467   6.92263938e-05  
1.48668706 0.00126533  -5.13528337e-01  
1.48668706 0.00666235  -5.13532482e-01  
1.48668706 0.01635317  -5.13509768e-01  
1.48668706 0.03030777  -5.13473777e-01  
1.48668706 0.04848006  -5.13391571e-01  
1.48668706 0.07080973  -5.13237489e-01  
1.48668706 0.09722263  -5.12981067e-01  
1.48668706 0.12763103  -5.12587196e-01  
1.48668706 0.16193391  -5.12017015e-01  
1.48668706 0.20001733  -5.11228006e-01  
1.48668706 0.24175478  -5.10173511e-01  
1.48668706 0.28700761  -5.08801780e-01  
1.48668706 0.33562550  -5.07057918e-01  
1.48668706 0.38744694  -5.04881951e-01  
1.48668706 0.44229980  -5.02208487e-01  
1.48668706 0.50000184  -4.98971532e-01  
1.48668706 0.56036140  -4.95104072e-01  
1.48668706 0.62317797  -4.90539199e-01  
1.48668706 0.68824286  -4.85209742e-01  
1.48668706 0.75533996  -4.79045042e-01  
1.48668706 0.82424636  -4.71962921e-01  
1.48668706 0.89473316  -4.63854750e-01  
1.48668706 0.96656622  -4.54562006e-01  
1.48668706 1.03950692  -4.43844187e-01  
1.48668706 1.11331294  -4.31341201e-01  
1.48668706 1.18773913  -4.16539129e-01  
1.48668706 1.26253823  -3.98756871e-01  
1.48668706 1.33746177  -3.77180312e-01  
1.48668706 1.41226087  -3.50970544e-01  
1.48668706 1.48668706  -3.19352437e-01  
1.48668706 1.56049308  -2.73284781e-01  
1.48668706 1.63343378  -2.25259766e-01  
1.48668706 1.70526684  -1.77460606e-01  
1.48668706 1.77575364  -1.32166378e-01  
1.48668706 1.84466004  -9.16469085e-02  
1.48668706 1.91175714  -5.77867570e-02  
1.48668706 1.97682203  -3.17038091e-02  
1.48668706 2.03963860  -1.35195134e-02  
1.48668706 2.09999816  -2.38268126e-03  
1.48668706 2.15770020   3.24849399e-03  
1.48668706 2.21255306   5.17149956e-03  
1.48668706 2.26437450   5.02024909e-03  
1.48668706 2.31299239   4.00341228e-03  
1.48668706 2.35824522   2.84522820e-03  
1.48668706 2.39998267   1.87618281e-03  
1.48668706 2.43806609   1.18028983e-03  
1.48668706 2.47236897   7.25150509e-04  
1.48668706 2.50277737   4.44635873e-04  
1.48668706 2.52919027   2.77773882e-04  
1.48668706 2.55151994   1.80296697e-04  
1.48668706 2.56969223   1.23796759e-04  
1.48668706 2.58364683   9.13493977e-05  
1.48668706 2.59333765   7.33775238e-05  
1.48668706 2.59873467   6.47619153e-05  
1.56049308 0.00126533  -4.21729217e-01  
1.56049308 0.00666235  -4.21733313e-01  
1.56049308 0.01635317  -4.21715016e-01  
1.56049308 0.03030777  -4.21689160e-01  
1.56049308 0.04848006  -4.21629405e-01  
1.56049308 0.07080973  -4.21517085e-01  
1.56049308 0.09722263  -4.21330062e-01  
1.56049308 0.12763103  -4.21042665e-01  
1.56049308 0.16193391  -4.20626374e-01  
1.56049308 0.20001733  -4.20049847e-01  
1.56049308 0.24175478  -4.19278510e-01  
1.56049308 0.28700761  -4.18273757e-01  
1.56049308 0.33562550  -4.16994690e-01  
1.56049308 0.38744694  -4.15396295e-01  
1.56049308 0.44229980  -4.13428950e-01  
1.56049308 0.50000184  -4.11042516e-01  
1.56049308 0.56036140  -4.08185780e-01  
1.56049308 0.62317797  -4.04807460e-01  
1.56049308 0.68824286  -4.00856189e-01  
1.56049308 0.75533996  -3.96278269e-01  
1.56049308 0.82424636  -3.91011364e-01  
1.56049308 0.89473316  -3.84972133e-01  
1.56049308 0.96656622  -3.78036237e-01  
1.56049308 1.03950692  -3.70010383e-01  
1.56049308 1.11331294  -3.60598442e-01  
1.56049308 1.18773913  -3.49368430e-01  
1.56049308 1.26253823  -3.35735076e-01  
1.56049308 1.33746177  -3.18983208e-01  
1.56049308 1.41226087  -2.98364268e-01  
1.56049308 1.48668706  -2.73284781e-01  
1.56049308 1.56049308  -2.43460157e-01  
1.56049308 1.63343378  -2.02043270e-01  
1.56049308 1.70526684  -1.60040714e-01  
1.56049308 1.77575364  -1.19795433e-01  
1.56049308 1.84466004  -8.34909043e-02  
1.56049308 1.91175714  -5.29470146e-02  
1.56049308 1.97682203  -2.92795303e-02  
1.56049308 2.03963860  -1.26852751e-02  
1.56049308 2.09999816  -2.45671620e-03  
1.56049308 2.15770020   2.76513868e-03  
1.56049308 2.21255306   4.59364838e-03  
1.56049308 2.26437450   4.50960369e-03  
1.56049308 2.31299239   3.61612569e-03  
1.56049308 2.35824522   2.57881025e-03  
1.56049308 2.39998267   1.70456977e-03  
1.56049308 2.43806609   1.07423499e-03  
1.56049308 2.47236897   6.60896407e-04  
1.56049308 2.50277737   4.05674024e-04  
1.56049308 2.52919027   2.53649367e-04  
1.56049308 2.55151994   1.64748155e-04  
1.56049308 2.56969223   1.13178879e-04  
1.56049308 2.58364683   8.35460950e-05  
1.56049308 2.59333765   6.71265426e-05  
1.56049308 2.59873467   5.92531519e-05  
1.63343378 0.00126533  -3.34263561e-01  
1.63343378 0.00666235  -3.34267476e-01  
1.63343378 0.01635317  -3.34253140e-01  
1.63343378 0.03030777  -3.34235886e-01  
1.63343378 0.04848006  -3.34195252e-01  
1.63343378 0.07080973  -3.34118539e-01  
1.63343378 0.09722263  -3.33990732e-01  
1.63343378 0.12763103  -3.33794282e-01  
1.63343378 0.16193391  -3.33509613e-01  
1.63343378 0.20001733  -3.33115105e-01  
1.63343378 0.24175478  -3.32586707e-01  
1.63343378 0.28700761  -3.31897228e-01  
1.63343378 0.33562550  -3.31017795e-01  
1.63343378 0.38744694  -3.29916139e-01  
1.63343378 0.44229980  -3.28556017e-01  
1.63343378 0.50000184  -3.26900668e-01  
1.63343378 0.56036140  -3.24912206e-01  
1.63343378 0.62317797  -3.22552425e-01  
1.63343378 0.68824286  -3.19782856e-01  
1.63343378 0.75533996  -3.16563150e-01  
1.63343378 0.82424636  -3.12846293e-01  
1.63343378 0.89473316  -3.08568901e-01  
1.63343378 0.96656622  -3.03635042e-01  
1.63343378 1.03950692  -2.97892955e-01  
1.63343378 1.11331294  -2.91105991e-01  
1.63343378 1.18773913  -2.82922811e-01  
1.63343378 1.26253823  -2.72858491e-01  
1.63343378 1.33746177  -2.60307696e-01  
1.63343378 1.41226087  -2.44619660e-01  
1.63343378 1.48668706  -2.25259766e-01  
1.63343378 1.56049308  -2.02043270e-01  
1.63343378 1.63343378  -1.75264989e-01  
1.63343378 1.70526684  -1.39798800e-01  
1.63343378 1.77575364  -1.05230761e-01  
1.63343378 1.84466004  -7.37361869e-02  
1.63343378 1.91175714  -4.70352624e-02  
1.63343378 1.97682203  -2.62110634e-02  
1.63343378 2.03963860  -1.15218174e-02  
1.63343378 2.09999816  -2.40791636e-03  
1.63343378 2.15770020   2.28833536e-03  
1.63343378 2.21255306   3.97057884e-03  
1.63343378 2.26437450   3.94111703e-03  
1.63343378 2.31299239   3.17747038e-03  
1.63343378 2.35824522   2.27367488e-03  
1.63343378 2.39998267   1.50645126e-03  
1.63343378 2.43806609   9.51065487e-04  
1.63343378 2.47236897   5.85924538e-04  
1.63343378 2.50277737   3.60044896e-04  
1.63343378 2.52919027   2.25313325e-04  
1.63343378 2.55151994   1.46442728e-04  
1.63343378 2.56969223   1.00655894e-04  
1.63343378 2.58364683   7.43304779e-05  
1.63343378 2.59333765   5.97375834e-05  
1.63343378 2.59873467   5.27383347e-05  
1.70526684 0.00126533  -2.53096631e-01  
1.70526684 0.00666235  -2.53100243e-01  
1.70526684 0.01635317  -2.53089399e-01  
1.70526684 0.03030777  -2.53079205e-01  
1.70526684 0.04848006  -2.53054339e-01  
1.70526684 0.07080973  -2.53007029e-01  
1.70526684 0.09722263  -2.52928150e-01  
1.70526684 0.12763103  -2.52806898e-01  
1.70526684 0.16193391  -2.52631168e-01  
1.70526684 0.20001733  -2.52387486e-01  
1.70526684 0.24175478  -2.52060649e-01  
1.70526684 0.28700761  -2.51633072e-01  
1.70526684 0.33562550  -2.51085941e-01  
1.70526684 0.38744694  -2.50397613e-01  
1.70526684 0.44229980  -2.49543000e-01  
1.70526684 0.50000184  -2.48496437e-01  
1.70526684 0.56036140  -2.47231075e-01  
1.70526684 0.62317797  -2.45719498e-01  
1.70526684 0.68824286  -2.43933712e-01  
1.70526684 0.75533996  -2.41843915e-01  
1.70526684 0.82424636  -2.39414957e-01  
1.70526684 0.89473316  -2.36599126e-01  
1.70526684 0.96656622  -2.33323787e-01  
1.70526684 1.03950692  -2.29473037e-01  
1.70526684 1.11331294  -2.24864062e-01  
1.70526684 1.18773913  -2.19221931e-01  
1.70526684 1.26253823  -2.12161694e-01  
1.70526684 1.33746177  -2.03194381e-01  
1.70526684 1.41226087  -1.91781396e-01  
1.70526684 1.48668706  -1.77460606e-01  
1.70526684 1.56049308  -1.60040714e-01  
1.70526684 1.63343378  -1.39798800e-01  
1.70526684 1.70526684  -1.17485987e-01  
1.70526684 1.77575364  -8.90775642e-02  
1.70526684 1.84466004  -6.27869091e-02  
1.70526684 1.91175714  -4.02938426e-02  
1.70526684 1.97682203  -2.26228988e-02  
1.70526684 2.03963860  -1.00760872e-02  
1.70526684 2.09999816  -2.23858571e-03  
1.70526684 2.15770020   1.83652577e-03  
1.70526684 2.21255306   3.32639325e-03  
1.70526684 2.26437450   3.33670068e-03  
1.70526684 2.31299239   2.70428773e-03  
1.70526684 2.35824522   1.94149440e-03  
1.70526684 2.39998267   1.28938096e-03  
1.70526684 2.43806609   8.15463667e-04  
1.70526684 2.47236897   5.03077638e-04  
1.70526684 2.50277737   3.09474716e-04  
1.70526684 2.52919027   1.93835666e-04  
1.70526684 2.55151994   1.26070457e-04  
1.70526684 2.56969223   8.66992392e-05  
1.70526684 2.58364683   6.40491177e-05  
1.70526684 2.59333765   5.14883247e-05  
1.70526684 2.59873467   4.54621946e-05  
1.77575364 0.00126533  -1.80545453e-01  
1.77575364 0.00666235  -1.80548667e-01  
1.77575364 0.01635317  -1.80540828e-01  
1.77575364 0.03030777  -1.80536165e-01  
1.77575364 0.04848006  -1.80523743e-01  
1.77575364 0.07080973  -1.80499671e-01  
1.77575364 0.09722263  -1.80459464e-01  
1.77575364 0.12763103  -1.80397644e-01  
1.77575364 0.16193391  -1.80308007e-01  
1.77575364 0.20001733  -1.80183519e-01  
1.77575364 0.24175478  -1.80015997e-01  
1.77575364 0.28700761  -1.79795527e-01  
1.77575364 0.33562550  -1.79511346e-01  
1.77575364 0.38744694  -1.79150405e-01  
1.77575364 0.44229980  -1.78696716e-01  
1.77575364 0.50000184  -1.78133617e-01  
1.77575364 0.56036140  -1.77443159e-01  
1.77575364 0.62317797  -1.76606529e-01  
1.77575364 0.68824286  -1.75604014e-01  
1.77575364 0.75533996  -1.74414093e-01  
1.77575364 0.82424636  -1.73010921e-01  
1.77575364 0.89473316  -1.71359198e-01  
1.77575364 0.96656622  -1.69405265e-01  
1.77575364 1.03950692  -1.67063539e-01  
1.77575364 1.11331294  -1.64198536e-01  
1.77575364 1.18773913  -1.60605012e-01  
1.77575364 1.26253823  -1.55992676e-01  
1.77575364 1.33746177  -1.49987787e-01  
1.77575364 1.41226087  -1.42170386e-01  
1.77575364 1.48668706  -1.32166378e-01  
1.77575364 1.56049308  -1.19795433e-01  
1.77575364 1.63343378  -1.05230761e-01  
1.77575364 1.70526684  -8.90775642e-02  
1.77575364 1.77575364  -7.22347467e-02  
1.77575364 1.84466004  -5.13088868e-02  
1.77575364 1.91175714  -3.31417164e-02  
1.77575364 1.97682203  -1.87444051e-02  
1.77575364 2.03963860  -8.44693973e-03  
1.77575364 2.09999816  -1.96855439e-03  
1.77575364 2.15770020   1.42961007e-03  
