# vlowk  State 3S1   nwave = 2   tz1 = 1, tz2 = -1  nexp = 4
# kvnn = 6   Lambda = 2
#    k         kp       vlowk_11      
0.04848006 0.33562550  -2.20336223e+00  
0.04848006 0.38744694  -2.11246048e+00  
0.04848006 0.44229980  -2.01764259e+00  
0.04848006 0.50000184  -1.91981813e+00  
0.04848006 0.56036140  -1.81978737e+00  
0.04848006 0.62317797  -1.71824562e+00  
0.04848006 0.68824286  -1.61578075e+00  
0.04848006 0.75533996  -1.51287321e+00  
0.04848006 0.82424636  -1.40990025e+00  
0.04848006 0.89473316  -1.30714650e+00  
0.04848006 0.96656622  -1.20482301e+00  
0.04848006 1.03950692  -1.10309142e+00  
0.04848006 1.11331294  -1.00208490e+00  
0.04848006 1.18773913  -9.01922686e-01  
0.04848006 1.26253823  -8.02728528e-01  
0.04848006 1.33746177  -7.04671965e-01  
0.04848006 1.41226087  -6.08047154e-01  
0.04848006 1.48668706  -5.13391571e-01  
0.04848006 1.56049308  -4.21629405e-01  
0.04848006 1.63343378  -3.34195252e-01  
0.04848006 1.70526684  -2.53054339e-01  
0.04848006 1.77575364  -1.80523743e-01  
0.04848006 1.84466004  -1.18862683e-01  
0.04848006 1.91175714  -6.97248301e-02  
0.04848006 1.97682203  -3.36664827e-02  
0.04848006 2.03963860  -9.91159708e-03  
0.04848006 2.09999816   3.51467352e-03  
0.04848006 2.15770020   9.31868773e-03  
0.04848006 2.21255306   1.03136977e-02  
0.04848006 2.26437450   8.87484652e-03  
0.04848006 2.31299239   6.64808863e-03  
0.04848006 2.35824522   4.54340048e-03  
0.04848006 2.39998267   2.91584256e-03  
0.04848006 2.43806609   1.79812065e-03  
0.04848006 2.47236897   1.08807252e-03  
0.04848006 2.50277737   6.59328578e-04  
0.04848006 2.52919027   4.08102900e-04  
0.04848006 2.55151994   2.62987245e-04  
0.04848006 2.56969223   1.79582692e-04  
0.04848006 2.58364683   1.31980553e-04  
0.04848006 2.59333765   1.05728434e-04  
0.04848006 2.59873467   9.31767148e-05  
0.07080973 0.00126533  -2.63072519e+00  
0.07080973 0.00666235  -2.63055119e+00  
0.07080973 0.01635317  -2.62954695e+00  
0.07080973 0.03030777  -2.62667473e+00  
0.07080973 0.04848006  -2.62031969e+00  
0.07080973 0.07080973  -2.60835703e+00  
0.07080973 0.09722263  -2.58269312e+00  
0.07080973 0.12763103  -2.54508714e+00  
0.07080973 0.16193391  -2.49523767e+00  
0.07080973 0.20001733  -2.43406546e+00  
0.07080973 0.24175478  -2.36321234e+00  
0.07080973 0.28700761  -2.28444846e+00  
0.07080973 0.33562550  -2.19932516e+00  
0.07080973 0.38744694  -2.10911559e+00  
0.07080973 0.44229980  -2.01488228e+00  
0.07080973 0.50000184  -1.91754405e+00  
0.07080973 0.56036140  -1.81791234e+00  
0.07080973 0.62317797  -1.71669512e+00  
0.07080973 0.68824286  -1.61449292e+00  
0.07080973 0.75533996  -1.51179761e+00  
0.07080973 0.82424636  -1.40899655e+00  
0.07080973 0.89473316  -1.30638341e+00  
0.07080973 0.96656622  -1.20417723e+00  
0.07080973 1.03950692  -1.10254581e+00  
0.07080973 1.11331294  -1.00162633e+00  
0.07080973 1.18773913  -9.01540382e-01  
0.07080973 1.26253823  -8.02413456e-01  
0.07080973 1.33746177  -7.04416669e-01  
0.07080973 1.41226087  -6.07845372e-01  
0.07080973 1.48668706  -5.13237489e-01  
0.07080973 1.56049308  -4.21517085e-01  
0.07080973 1.63343378  -3.34118539e-01  
0.07080973 1.70526684  -2.53007029e-01  
0.07080973 1.77575364  -1.80499671e-01  
0.07080973 1.84466004  -1.18855753e-01  
0.07080973 1.91175714  -6.97292108e-02  
0.07080973 1.97682203  -3.36770350e-02  
0.07080973 2.03963860  -9.92430029e-03  
0.07080973 2.09999816   3.50251836e-03  
